cancer,track,eval_mode,ensemble_method,row_count,spearman,pearson,rmse,mae,r2,ndcg_at_30,available_modality_count_mean,used_modalities,missing_modalities,strict_leakage_violation
crc,2B_numeric_smiles,scaffoldcv,robust_weighted,9692,0.38159876753648514,0.42667806141008535,2.5132724038396543,1.9076767778621213,0.14760967587610885,0.11886497724552852,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,unseen_drug,simple_mean,1861,0.36765702354164115,0.505282088880491,2.506406451876315,1.9558996129002264,0.22550448831702308,0.376282707487128,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,unseen_drug,rank_mean,1861,0.36226512497978236,0.40266118226735825,3.6472838004175134,3.1718944663191775,-0.6400421926177218,0.4187623120486222,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,unseen_drug,robust_weighted,1861,0.37712117940128703,0.5084198581090481,2.494806550343646,1.9436262447874733,0.23265678564052172,0.3737068636447083,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,cv,simple_mean,9692,0.7854738883562874,0.8517101556140908,1.434981707592199,1.084952232469389,0.72212331077859,0.8262480120352689,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,cv,rank_mean,9692,0.7896784728619461,0.7863962056765315,3.6300657221862664,3.1757821399458455,-0.7782317568537582,0.797184853375751,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,cv,robust_weighted,9692,0.7886137737184457,0.8539495655040283,1.4320178076795942,1.0851873907282286,0.7232700126978135,0.8147374201608095,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,groupcv,simple_mean,9692,0.47253826371544233,0.5176267111110331,2.341866172784045,1.8089148386317724,0.25991170973615163,0.09276784992641657,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,groupcv,rank_mean,9692,0.4833494226596964,0.5005438405547098,3.6957832389818184,3.217750130638204,-0.8431996063183573,0.17555608126711944,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,groupcv,robust_weighted,9692,0.4782750824059626,0.5265955946160346,2.3217876050098036,1.793889248766433,0.27254796581353635,0.10960548273563041,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,holdout,simple_mean,1939,0.7847449848819875,0.85709099405086,1.4142303002674153,1.0697863259155767,0.7264900635311607,0.967559418208296,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,holdout,rank_mean,1939,0.7843518290301751,0.77538494390935,3.625985842006013,3.1913504474120664,-0.7979807634315459,0.952968849417877,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,holdout,robust_weighted,1939,0.7849691434072101,0.8573317628471336,1.4170043817436828,1.0738103536874215,0.7254160050843075,0.9711672940190638,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,scaffoldcv,simple_mean,9692,0.42978170974196517,0.37388765576764876,2.7037265018726373,1.9266167876822238,0.01352768388641401,0.17701688649421188,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,scaffoldcv,rank_mean,9692,0.42442141622445706,0.4469923047909008,3.717319240481751,3.2347305008621112,-0.8647435131667727,0.11456131720940839,3.0,DL|Graph|ML,,False
