modality,cancer,track,model,eval_mode,overfit_spearman_gap,overfit_fold_std,overfit_level,combo_dir
ML,crc,2C_numeric_smiles_context,XGBoost,scaffoldcv,0.4820237455034146,0.1299019339475668,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/XGBoost/scaffoldcv
ML,crc,2C_numeric_smiles_context,XGBoost,groupcv,0.35416348840235523,0.05511994230046126,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/XGBoost/groupcv
ML,crc,2C_numeric_smiles_context,XGBoost,unseen_drug,0.42304800380934465,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/XGBoost/unseen_drug
ML,crc,2C_numeric_smiles_context,RandomForest,scaffoldcv,0.5318579355386585,0.06121107149729326,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/RandomForest/scaffoldcv
ML,crc,2C_numeric_smiles_context,RandomForest,groupcv,0.4519628608504474,0.035371293040482,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/RandomForest/groupcv
ML,crc,2C_numeric_smiles_context,RandomForest,unseen_drug,0.5595248793424055,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/RandomForest/unseen_drug
ML,crc,2C_numeric_smiles_context,ExtraTrees,scaffoldcv,0.5914079244443645,0.06899072625412019,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/ExtraTrees/scaffoldcv
ML,crc,2C_numeric_smiles_context,ExtraTrees,groupcv,0.519128129220395,0.03623712050546523,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/ExtraTrees/groupcv
ML,crc,2C_numeric_smiles_context,ExtraTrees,unseen_drug,0.5508966806548778,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/ExtraTrees/unseen_drug
ML,crc,2C_numeric_smiles_context,LightGBM,scaffoldcv,0.4439227105320032,0.10170489863552587,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/LightGBM/scaffoldcv
ML,crc,2C_numeric_smiles_context,LightGBM,groupcv,0.34195929078906145,0.0374910629903777,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/LightGBM/groupcv
ML,crc,2C_numeric_smiles_context,LightGBM,unseen_drug,0.42122216987064626,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/LightGBM/unseen_drug
ML,crc,2C_numeric_smiles_context,CatBoost,scaffoldcv,0.3789605564513055,0.09155087956600753,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/CatBoost/scaffoldcv
ML,crc,2C_numeric_smiles_context,CatBoost,groupcv,0.32035398716332963,0.056572399716650436,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/CatBoost/groupcv
ML,crc,2C_numeric_smiles_context,CatBoost,unseen_drug,0.3922074023677255,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2C_numeric_smiles_context/CatBoost/unseen_drug
ML,crc,2B_numeric_smiles,XGBoost,scaffoldcv,0.46368281180369264,0.12271254565970878,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2B_numeric_smiles/XGBoost/scaffoldcv
